Abroscopus albogularis,Rufous-faced Warbler
Myrmophylax atrothorax,Black-throated Antbird
Myrmorchilus strigilatus,Stripe-backed Antbird
Myrmothera berlepschi,Amazonian Antpitta
Myrmothera campanisona,Thrush-like Antpitta
Myrmothera dives,Thicket Antpitta
Myrmotherula axillaris,White-flanked Antwren
Myrmotherula brachyura,Pygmy Antwren
Myrmotherula ignota,Moustached Antwren
Myrmotherula longicauda,Stripe-chested Antwren
Myrmotherula longipennis,Long-winged Antwren
Myrmotherula menetriesii,Gray Antwren
Myrmotherula multostriata,Amazonian Streaked-Antwren
Myrmotherula pacifica,Pacific Antwren
Myrmotherula schisticolor,Slaty Antwren
Myrmotherula sclateri,Sclater's Antwren
Myrmotherula unicolor,Unicolored Antwren
Myzomela sanguinolenta,Scarlet Myzomela
Nannopterum auritum,Double-crested Cormorant
Nannopterum brasilianum,Neotropic Cormorant
Napothera epilepidota,Eyebrowed Wren-Babbler
Nasica longirostris,Long-billed Woodcreeper
Nectarinia famosa,Malachite Sunbird
Nemosia pileata,Hooded Tanager
Neoconocephalus bivocatus,False Robust Conehead
Neoconocephalus ensiger,Sword-bearing Conehead
Neoconocephalus retusus,Round-tipped Conehead
Neoconocephalus robustus,Robust Conehead
Neocossyphus fraseri,Rufous Flycatcher-Thrush
Neonemobius cubensis,Cuban Ground Cricket
Neopelma chrysocephalum,Saffron-crested Tyrant-Manakin
Neopelma pallescens,Pale-bellied Tyrant-Manakin
Nesoptilotis flavicollis,Yellow-throated Honeyeater
Nesoptilotis leucotis,White-eared Honeyeater
Nestor meridionalis,New Zealand Kaka
Newtonia brunneicauda,Common Newtonia
Nicator chloris,Western Nicator
Nicator gularis,Eastern Nicator
Nilaus afer,Brubru
Niltava grandis,Large Niltava
Niltava macgrigoriae,Small Niltava
Ninox boobook,Southern Boobook
Ninox connivens,Barking Owl
Ninox japonica,Northern Boobook
Ninox novaeseelandiae,Morepork
Ninox scutulata,Brown Boobook
Ninox strenua,Powerful Owl
Nisaetus cirrhatus,Changeable Hawk-Eagle
Noise,Noise
Notharchus hyperrhynchus,White-necked Puffbird
Notharchus pectoralis,Black-breasted Puffbird
Notharchus tectus,Pied Puffbird
Nothocercus bonapartei,Highland Tinamou
Nothocercus julius,Tawny-breasted Tinamou
Nothura maculosa,Spotted Nothura
Notopholia corusca,Black-bellied Starling
Nucifraga caryocatactes,Eurasian Nutcracker
Nucifraga columbiana,Clark's Nutcracker
Numenius americanus,Long-billed Curlew
Numenius arquata,Eurasian Curlew
Numenius phaeopus,Whimbrel
Numenius tahitiensis,Bristle-thighed Curlew
Numida meleagris,Helmeted Guineafowl
Nyctanassa violacea,Yellow-crowned Night-Heron
Nyctibius aethereus,Long-tailed Potoo
Nyctibius grandis,Great Potoo
Nyctibius griseus,Common Potoo
Nycticorax nycticorax,Black-crowned Night-Heron
Nyctidromus albicollis,Common Pauraque
Nyctiphrynus ocellatus,Ocellated Poorwill
Nyctiprogne leucopyga,Band-tailed Nighthawk
Nyctyornis amictus,Red-bearded Bee-eater
Nyctyornis athertoni,Blue-bearded Bee-eater
Nystalus chacuru,White-eared Puffbird
Nystalus maculatus,Spot-backed Puffbird
Nystalus obamai,Western Striolated-Puffbird
Nystalus radiatus,Barred Puffbird
Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant
Ochthoeca diadema,Yellow-bellied Chat-Tyrant
Ochthoeca fumicolor,Brown-backed Chat-Tyrant
Ochthoeca rufipectoralis,Rufous-breasted Chat-Tyrant
Ocreatus underwoodii,Booted Racket-tail
Ocyceros birostris,Indian Gray Hornbill
Ocyceros griseus,Malabar Gray Hornbill
Odocoileus virginianus,White-tailed Deer
Odontophorus capueira,Spot-winged Wood-Quail
Odontophorus gujanensis,Marbled Wood-Quail
Odontophorus guttatus,Spotted Wood-Quail
Odontophorus hyperythrus,Chestnut Wood-Quail
Odontorchilus cinereus,Tooth-billed Wren
Oecanthus celerinictus,Fast-calling Tree Cricket
Oecanthus exclamationis,Davis's Tree Cricket
Oecanthus fultoni,Snowy Tree Cricket
Oecanthus nigricornis,Blackhorned Tree Cricket
Oecanthus niveus,Narrow-winged Tree Cricket
Oecanthus pini,Pine Tree Cricket
Oecanthus quadripunctatus,Four-spotted Tree Cricket
Oena capensis,Namaqua Dove
Oenanthe fusca,Brown Rock Chat
Oenanthe isabellina,Isabelline Wheatear
Oenanthe leucura,Black Wheatear
Oenanthe oenanthe,Northern Wheatear
Ognorhynchus icterotis,Yellow-eared Parrot
Oncostoma cinereigulare,Northern Bentbill
Oncostoma olivaceum,Southern Bentbill
Oneillornis salvini,White-throated Antbird
Onychognathus morio,Red-winged Starling
Onychognathus nabouroup,Pale-winged Starling
Onychoprion fuscatus,Sooty Tern
Onychoprion lunatus,Gray-backed Tern
Onychorhynchus coronatus,Royal Flycatcher
Opisthocomus hoazin,Hoatzin
Oporornis agilis,Connecticut Warbler
Orchelimum agile,Agile Meadow Katydid
Orchelimum concinnum,Stripe-faced Meadow Katydid
Orchelimum pulchellum,Handsome Meadow Katydid
Oreoica gutturalis,Crested Bellbird
Oreomystis bairdi,Akikiki
Oreortyx pictus,Mountain Quail
Oreoscoptes montanus,Sage Thrasher
Oreothlypis superciliosa,Crescent-chested Warbler
Oressochen melanopterus,Andean Goose
Oriolus auratus,African Golden Oriole
Oriolus brachyrynchus,Western Black-headed Oriole
Oriolus chinensis,Black-naped Oriole
Oriolus flavocinctus,Green Oriole
Oriolus kundoo,Indian Golden Oriole
Oriolus larvatus,African Black-headed Oriole
Oriolus oriolus,Eurasian Golden Oriole
Oriolus sagittatus,Olive-backed Oriole
Oriolus traillii,Maroon Oriole
Oriolus xanthonotus,Dark-throated Oriole
Oriolus xanthornus,Black-hooded Oriole
Oriturus superciliosus,Striped Sparrow
Ornithion brunneicapillus,Brown-capped Tyrannulet
Ornithion inerme,White-lored Tyrannulet
Orocharis saltator,Jumping Bush Cricket
Orochelidon flavipes,Pale-footed Swallow
Ortalis canicollis,Chaco Chachalaca
Ortalis cinereiceps,Gray-headed Chachalaca
Ortalis columbiana,Colombian Chachalaca
Ortalis erythroptera,Rufous-headed Chachalaca
Ortalis guttata,Speckled Chachalaca
Ortalis leucogastra,White-bellied Chachalaca
Ortalis motmot,Variable Chachalaca
Ortalis poliocephala,West Mexican Chachalaca
Ortalis ruficauda,Rufous-vented Chachalaca
Ortalis vetula,Plain Chachalaca
Ortalis wagleri,Rufous-bellied Chachalaca
Orthonyx temminckii,Australian Logrunner
Orthopsittaca manilatus,Red-bellied Macaw
Orthotomus atrogularis,Dark-necked Tailorbird
Orthotomus ruficeps,Ashy Tailorbird
Orthotomus sericeus,Rufous-tailed Tailorbird
Orthotomus sutorius,Common Tailorbird
Ortygornis pondicerianus,Gray Francolin
Otus bakkamoena,Indian Scops-Owl
Otus lempiji,Sunda Scops-Owl
Otus lettia,Collared Scops-Owl
Otus scops,Eurasian Scops-Owl
Otus senegalensis,African Scops-Owl
Otus spilocephalus,Mountain Scops-Owl
Otus sunia,Oriental Scops-Owl
Oxyruncus cristatus,Sharpbill
Oxyura jamaicensis,Ruddy Duck
Pachycephala cinerea,Mangrove Whistler
Pachycephala olivacea,Olive Whistler
Pachycephala pectoralis,Golden Whistler
Pachycephala rufiventris,Rufous Whistler
Pachycephala simplex,Gray Whistler
Pachyramphus aglaiae,Rose-throated Becard
Pachyramphus castaneus,Chestnut-crowned Becard
Pachyramphus cinnamomeus,Cinnamon Becard
Pachyramphus marginatus,Black-capped Becard
Pachyramphus minor,Pink-throated Becard
Pachyramphus polychopterus,White-winged Becard
Pachyramphus rufus,Cinereous Becard
Pachyramphus validus,Crested Becard
Pachyramphus versicolor,Barred Becard
Pachyramphus viridis,Green-backed Becard
Pachysylvia aurantiifrons,Golden-fronted Greenlet
Pachysylvia decurtata,Lesser Greenlet
Pachysylvia hypoxantha,Dusky-capped Greenlet
Pachysylvia muscicapina,Buff-cheeked Greenlet
Pachysylvia semibrunnea,Rufous-naped Greenlet
Padda oryzivora,Java Sparrow
Palmeria dolei,Akohekohe
Pandion haliaetus,Osprey
Panurus biarmicus,Bearded Reedling
Parabuteo leucorrhous,White-rumped Hawk
Parabuteo unicinctus,Harris's Hawk
Pardalotus punctatus,Spotted Pardalote
Pardalotus striatus,Striated Pardalote
Pardirallus maculatus,Spotted Rail
Pardirallus nigricans,Blackish Rail
Pardirallus sanguinolentus,Plumbeous Rail
Parkesia motacilla,Louisiana Waterthrush
Parkesia noveboracensis,Northern Waterthrush
Paroaria capitata,Yellow-billed Cardinal
Paroaria coronata,Red-crested Cardinal
Paroreomyza montana,Maui Alauahio
Parus cinereus,Cinereous Tit
Parus major,Great Tit
Parus minor,Japanese Tit
Parus monticolus,Green-backed Tit
Passer cinnamomeus,Russet Sparrow
Passer domesticus,House Sparrow
Passer griseus,Northern Gray-headed Sparrow
Passer hispaniolensis,Spanish Sparrow
Passer italiae,Italian Sparrow
Passer melanurus,Cape Sparrow
Passer montanus,Eurasian Tree Sparrow
Passerculus sandwichensis,Savannah Sparrow
Passerella iliaca,Fox Sparrow
Passerina amoena,Lazuli Bunting
Passerina caerulea,Blue Grosbeak
Passerina ciris,Painted Bunting
Passerina cyanea,Indigo Bunting
Passerina versicolor,Varied Bunting
Pastor roseus,Rosy Starling
Patagioenas cayennensis,Pale-vented Pigeon
Patagioenas fasciata,Band-tailed Pigeon
Patagioenas flavirostris,Red-billed Pigeon
Patagioenas nigrirostris,Short-billed Pigeon
Patagioenas picazuro,Picazuro Pigeon
Patagioenas plumbea,Plumbeous Pigeon
Patagioenas speciosa,Scaled Pigeon
Patagioenas subvinacea,Ruddy Pigeon
Patagona gigas,Giant Hummingbird
Pavo cristatus,Indian Peafowl
Pelargopsis capensis,Stork-billed Kingfisher
Pellorneum bicolor,Ferruginous Babbler
Pellorneum capistratum,Black-capped Babbler
Pellorneum malaccense,Short-tailed Babbler
Pellorneum rostratum,White-chested Babbler
Pellorneum ruficeps,Puff-throated Babbler
Pellorneum tickelli,Buff-breasted Babbler
Penelope argyrotis,Band-tailed Guan
Penelope jacquacu,Spix's Guan
Penelope montagnii,Andean Guan
Penelope obscura,Dusky-legged Guan
Penelope purpurascens,Crested Guan
Penelopina nigra,Highland Guan
Peneothello cyanus,Blue-gray Robin
Percnostola rufifrons,Black-headed Antbird
Perdicula asiatica,Jungle Bush-Quail
Perdix perdix,Gray Partridge
Pericrocotus cinnamomeus,Small Minivet
Pericrocotus divaricatus,Ashy Minivet
Pericrocotus ethologus,Long-tailed Minivet
Pericrocotus flammeus,Orange Minivet
Pericrocotus speciosus,Scarlet Minivet
Periparus ater,Coal Tit
Periparus elegans,Elegant Tit
Periparus venustulus,Yellow-bellied Tit
Perisoreus canadensis,Canada Jay
Perisoreus infaustus,Siberian Jay
Perissocephalus tricolor,Capuchinbird
Pernis apivorus,European Honey-buzzard
Pernis ptilorhynchus,Oriental Honey-buzzard
Petrochelidon fulva,Cave Swallow
Petrochelidon pyrrhonota,Cliff Swallow
Petroica macrocephala,Tomtit
Petronia petronia,Rock Sparrow
Peucaea aestivalis,Bachman's Sparrow
Peucaea botterii,Botteri's Sparrow
Peucaea carpalis,Rufous-winged Sparrow
Peucaea cassinii,Cassin's Sparrow
Peucaea humeralis,Black-chested Sparrow
Peucaea mystacalis,Bridled Sparrow
Peucaea ruficauda,Stripe-headed Sparrow
Peucedramus taeniatus,Olive Warbler
Pezopetes capitalis,Large-footed Finch
Phacellodomus erythrophthalmus,Orange-eyed Thornbird
Phacellodomus ferrugineigula,Orange-breasted Thornbird
Phacellodomus ruber,Greater Thornbird
Phacellodomus rufifrons,Rufous-fronted Thornbird
Phacellodomus striaticeps,Streak-fronted Thornbird
Phacellodomus striaticollis,Freckle-breasted Thornbird
Phaenostictus mcleannani,Ocellated Antbird
Phaeochroa cuvierii,Scaly-breasted Hummingbird
Phaeomyias murina,Mouse-colored Tyrannulet
Phaethon lepturus,White-tailed Tropicbird
Phaethon rubricauda,Red-tailed Tropicbird
Phaethornis bourcieri,Straight-billed Hermit
Phaethornis eurynome,Scale-throated Hermit
Phaethornis griseogularis,Gray-chinned Hermit
Phaethornis guy,Green Hermit
Phaethornis longirostris,Long-billed Hermit
Phaethornis malaris,Great-billed Hermit
Phaethornis pretrei,Planalto Hermit
Phaethornis ruber,Reddish Hermit
Phaethornis striigularis,Stripe-throated Hermit
Phaethornis superciliosus,Long-tailed Hermit
Phaethornis syrmatophorus,Tawny-bellied Hermit
Phaethornis yaruqui,White-whiskered Hermit
Phaetusa simplex,Large-billed Tern
Phainopepla nitens,Phainopepla
Phalacrocorax carbo,Great Cormorant
Phalaenoptilus nuttallii,Common Poorwill
Phalaropus fulicarius,Red Phalarope
Phalaropus lobatus,Red-necked Phalarope
Phalaropus tricolor,Wilson's Phalarope
Phapitreron leucotis,White-eared Brown-Dove
Phaps chalcoptera,Common Bronzewing
Pharomachrus antisianus,Crested Quetzal
Pharomachrus auriceps,Golden-headed Quetzal
Pharomachrus fulgidus,White-tipped Quetzal
Pharomachrus mocinno,Resplendent Quetzal
Pharomachrus pavoninus,Pavonine Quetzal
Phasianus colchicus,Ring-necked Pheasant
Pheucticus aureoventris,Black-backed Grosbeak
Pheucticus chrysogaster,Golden Grosbeak
Pheucticus chrysopeplus,Yellow Grosbeak
Pheucticus ludovicianus,Rose-breasted Grosbeak
Pheucticus melanocephalus,Black-headed Grosbeak
Pheugopedius atrogularis,Black-throated Wren
Pheugopedius coraya,Coraya Wren
Pheugopedius eisenmanni,Inca Wren
Pheugopedius euophrys,Plain-tailed Wren
Pheugopedius fasciatoventris,Black-bellied Wren
Pheugopedius felix,Happy Wren
Pheugopedius genibarbis,Moustached Wren
Pheugopedius maculipectus,Spot-breasted Wren
Pheugopedius mystacalis,Whiskered Wren
Pheugopedius rutilus,Rufous-breasted Wren
Pheugopedius sclateri,Speckle-breasted Wren
Pheugopedius spadix,Sooty-headed Wren
Philemon buceroides,Helmeted Friarbird
Philemon citreogularis,Little Friarbird
Philemon corniculatus,Noisy Friarbird
Philydor atricapillus,Black-capped Foliage-gleaner
Philydor erythrocercum,Rufous-rumped Foliage-gleaner
Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner
Phlegopsis nigromaculata,Black-spotted Bare-eye
Phleocryptes melanops,Wren-like Rushbird
Phoebastria immutabilis,Laysan Albatross
Phoebastria nigripes,Black-footed Albatross
Phoenicopterus roseus,Greater Flamingo
Phoeniculus purpureus,Green Woodhoopoe
Phoenicurus auroreus,Daurian Redstart
Phoenicurus fuliginosus,Plumbeous Redstart
Phoenicurus ochruros,Black Redstart
Phoenicurus phoenicurus,Common Redstart
Phrygilus gayi,Gray-hooded Sierra Finch
Phrygilus patagonicus,Patagonian Sierra Finch
Phylidonyris novaehollandiae,New Holland Honeyeater
Phylidonyris pyrrhopterus,Crescent Honeyeater
Phyllastrephus cabanisi,Cabanis's Greenbul
Phyllastrephus flavostriatus,Yellow-streaked Greenbul
Phyllastrephus terrestris,Terrestrial Brownbul
Phyllergates cucullatus,Mountain Tailorbird
Phyllomyias burmeisteri,Rough-legged Tyrannulet
Phyllomyias fasciatus,Planalto Tyrannulet
Phyllomyias griseiceps,Sooty-headed Tyrannulet
Phyllomyias nigrocapillus,Black-capped Tyrannulet
Phyllomyias uropygialis,Tawny-rumped Tyrannulet
Phyllomyias virescens,Greenish Tyrannulet
Phyllopalpus pulchellus,Handsome Trig
Phylloscartes difficilis,Serra do Mar Tyrannulet
Phylloscartes ophthalmicus,Marble-faced Bristle-Tyrant
Phylloscartes oustaleti,Oustalet's Tyrannulet
Phylloscartes ventralis,Mottle-cheeked Tyrannulet
Phylloscopus armandii,Yellow-streaked Warbler
Phylloscopus bonelli,Western Bonelli's Warbler
Phylloscopus borealis,Arctic Warbler
Phylloscopus borealoides,Sakhalin Leaf Warbler
Phylloscopus castaniceps,Chestnut-crowned Warbler
Phylloscopus claudiae,Claudia's Leaf Warbler
Phylloscopus collybita,Common Chiffchaff
Phylloscopus coronatus,Eastern Crowned Warbler
Phylloscopus examinandus,Kamchatka Leaf Warbler
Phylloscopus fuscatus,Dusky Warbler
Phylloscopus humei,Hume's Warbler
Phylloscopus ibericus,Iberian Chiffchaff
Phylloscopus inornatus,Yellow-browed Warbler
Phylloscopus intensior,Davison's Leaf Warbler
Phylloscopus intermedius,White-spectacled Warbler
Phylloscopus maculipennis,Ashy-throated Warbler
Phylloscopus magnirostris,Large-billed Leaf Warbler
Phylloscopus nitidus,Green Warbler
Phylloscopus occipitalis,Western Crowned Warbler
Phylloscopus ogilviegranti,Kloss's Leaf Warbler
Phylloscopus orientalis,Eastern Bonelli's Warbler
Phylloscopus plumbeitarsus,Two-barred Warbler
Phylloscopus proregulus,Pallas's Leaf Warbler
Phylloscopus pulcher,Buff-barred Warbler
Phylloscopus reguloides,Blyth's Leaf Warbler
Phylloscopus schwarzi,Radde's Warbler
Phylloscopus sibilatrix,Wood Warbler
Phylloscopus tenellipes,Pale-legged Leaf Warbler
Phylloscopus tephrocephalus,Gray-crowned Warbler
Phylloscopus trivirgatus,Mountain Leaf Warbler
Phylloscopus trochiloides,Greenish Warbler
Phylloscopus trochilus,Willow Warbler
Phylloscopus umbrovirens,Brown Woodland-Warbler
Phylloscopus whistleri,Whistler's Warbler
Phylloscopus xanthoschistos,Gray-hooded Warbler
Phylloscopus yunnanensis,Chinese Leaf Warbler
Phytotoma rutila,White-tipped Plantcutter
Piaya cayana,Squirrel Cuckoo
Pica hudsonia,Black-billed Magpie
Pica nuttalli,Yellow-billed Magpie
Pica pica,Eurasian Magpie
Pica serica,Oriental Magpie
Picoides arcticus,Black-backed Woodpecker
Picoides dorsalis,American Three-toed Woodpecker
Picoides tridactylus,Eurasian Three-toed Woodpecker
Piculus aurulentus,White-browed Woodpecker
Piculus flavigula,Yellow-throated Woodpecker
Picumnus cirratus,White-barred Piculet
Picumnus exilis,Golden-spangled Piculet
Picumnus innominatus,Speckled Piculet
Picumnus temminckii,Ochre-collared Piculet
Picus awokera,Japanese Woodpecker
Picus canus,Gray-headed Woodpecker
Picus chlorolophus,Lesser Yellownape
Picus puniceus,Crimson-winged Woodpecker
Picus sharpei,Iberian Green Woodpecker
Picus viridis,Eurasian Green Woodpecker
Pinicola enucleator,Pine Grosbeak
Pionites leucogaster,White-bellied Parrot
Pionites melanocephalus,Black-headed Parrot
Pionopsitta pileata,Pileated Parrot
Pionus chalcopterus,Bronze-winged Parrot
Pionus fuscus,Dusky Parrot
Pionus maximiliani,Scaly-headed Parrot
Pionus menstruus,Blue-headed Parrot
Pionus senilis,White-crowned Parrot
Pionus sordidus,Red-billed Parrot
Pionus tumultuosus,Speckle-faced Parrot
Pipile cumanensis,Blue-throated Piping-Guan
Pipilo chlorurus,Green-tailed Towhee
Pipilo erythrophthalmus,Eastern Towhee
Pipilo maculatus,Spotted Towhee
Pipilo ocai,Collared Towhee
Pipra fasciicauda,Band-tailed Manakin
Pipraeidea melanonota,Fawn-breasted Tanager
Pipreola arcuata,Barred Fruiteater
Pipreola aureopectus,Golden-breasted Fruiteater
Pipreola riefferii,Green-and-black Fruiteater
Piprites chloris,Wing-barred Piprites
Piranga bidentata,Flame-colored Tanager
Piranga flava,Hepatic Tanager
Piranga leucoptera,White-winged Tanager
Piranga ludoviciana,Western Tanager
Piranga olivacea,Scarlet Tanager
Piranga rubra,Summer Tanager
Pitangus lictor,Lesser Kiskadee
Pitangus sulphuratus,Great Kiskadee
Pithys albifrons,White-plumed Antbird
Pitta brachyura,Indian Pitta
Pitta moluccensis,Blue-winged Pitta
Pitta nympha,Fairy Pitta
Pitta sordida,Hooded Pitta
Pitta versicolor,Noisy Pitta
Platalea ajaja,Roseate Spoonbill
Platycercus caledonicus,Green Rosella
Platycercus elegans,Crimson Rosella
Platycercus eximius,Eastern Rosella
Platyrinchus cancrominus,Stub-tailed Spadebill
Platyrinchus coronatus,Golden-crowned Spadebill
Platyrinchus mystaceus,White-throated Spadebill
Platyrinchus platyrhynchos,White-crested Spadebill
Platysmurus leucopterus,Black Magpie
Platysteira castanea,Chestnut Wattle-eye
Platysteira cyanea,Brown-throated Wattle-eye
Platysteira peltata,Black-throated Wattle-eye
Plectrophenax nivalis,Snow Bunting
Plegadis chihi,White-faced Ibis
Plegadis falcinellus,Glossy Ibis
Plocepasser mahali,White-browed Sparrow-Weaver
Ploceus bicolor,Forest Weaver
Ploceus capensis,Cape Weaver
Ploceus cucullatus,Village Weaver
Ploceus manyar,Streaked Weaver
Ploceus philippinus,Baya Weaver
Pluvialis apricaria,European Golden-Plover
Pluvialis dominica,American Golden-Plover
Pluvialis fulva,Pacific Golden-Plover
Pluvialis squatarola,Black-bellied Plover
Pnoepyga albiventer,Scaly-breasted Cupwing
Pnoepyga pusilla,Pygmy Cupwing
Podiceps auritus,Horned Grebe
Podiceps cristatus,Great Crested Grebe
Podiceps grisegena,Red-necked Grebe
Podiceps nigricollis,Eared Grebe
Podilymbus podiceps,Pied-billed Grebe
Poecile atricapillus,Black-capped Chickadee
Poecile carolinensis,Carolina Chickadee
Poecile gambeli,Mountain Chickadee
Poecile hudsonicus,Boreal Chickadee
Poecile montanus,Willow Tit
Poecile palustris,Marsh Tit
Poecile rufescens,Chestnut-backed Chickadee
Poecile sclateri,Mexican Chickadee
Poecilotriccus capitalis,Black-and-white Tody-Flycatcher
Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher
Poecilotriccus plumbeiceps,Ochre-faced Tody-Flycatcher
Poecilotriccus ruficeps,Rufous-crowned Tody-Flycatcher
Poecilotriccus sylvia,Slate-headed Tody-Flycatcher
Pogoniulus bilineatus,Yellow-rumped Tinkerbird
Pogoniulus chrysoconus,Yellow-fronted Tinkerbird
Pogoniulus pusillus,Red-fronted Tinkerbird
Pogonocichla stellata,White-starred Robin
Poliocrania exsul,Chestnut-backed Antbird
Polioptila albiloris,White-lored Gnatcatcher
Polioptila bilineata,White-browed Gnatcatcher
Polioptila caerulea,Blue-gray Gnatcatcher
Polioptila californica,California Gnatcatcher
Polioptila dumicola,Masked Gnatcatcher
Polioptila melanura,Black-tailed Gnatcatcher
Polioptila nigriceps,Black-capped Gnatcatcher
Polioptila plumbea,Tropical Gnatcatcher
Polyplectron bicalcaratum,Gray Peacock-Pheasant
Pomatorhinus horsfieldii,Indian Scimitar-Babbler
Pomatorhinus montanus,Chestnut-backed Scimitar-Babbler
Pomatorhinus musicus,Taiwan Scimitar-Babbler
Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler
Pomatorhinus schisticeps,White-browed Scimitar-Babbler
Pomatostomus superciliosus,White-browed Babbler
Pomatostomus temporalis,Gray-crowned Babbler
Poodytes gramineus,Little Grassbird
Pooecetes gramineus,Vesper Sparrow
Poospiza nigrorufa,Black-and-rufous Warbling Finch
Porphyrio martinica,Purple Gallinule
Porphyrio melanotus,Australasian Swamphen
Porphyrio poliocephalus,Gray-headed Swamphen
Porphyrio porphyrio,Western Swamphen
Porzana carolina,Sora
Porzana porzana,Spotted Crake
Power tools,Power tools
Premnoplex brunnescens,Spotted Barbtail
Prinia flaviventris,Yellow-bellied Prinia
Prinia gracilis,Graceful Prinia
Prinia hodgsonii,Gray-breasted Prinia
Prinia inornata,Plain Prinia
Prinia maculosa,Karoo Prinia
Prinia rufescens,Rufescent Prinia
Prinia socialis,Ashy Prinia
Prinia subflava,Tawny-flanked Prinia
Prinia superciliaris,Hill Prinia
Prinia sylvatica,Jungle Prinia
Procnias averano,Bearded Bellbird
Procnias nudicollis,Bare-throated Bellbird
Procnias tricarunculatus,Three-wattled Bellbird
Progne chalybea,Gray-breasted Martin
Progne subis,Purple Martin
Progne tapera,Brown-chested Martin
Prosthemadera novaeseelandiae,Tui
Protonotaria citrea,Prothonotary Warbler
Prunella collaris,Alpine Accentor
Prunella modularis,Dunnock
Psaltriparus minimus,Bushtit
Psarocolius angustifrons,Russet-backed Oropendola
Psarocolius atrovirens,Dusky-green Oropendola
Psarocolius bifasciatus,Olive Oropendola
Psarocolius decumanus,Crested Oropendola
Psarocolius montezuma,Montezuma Oropendola
Psarocolius viridis,Green Oropendola
Psarocolius wagleri,Chestnut-headed Oropendola
Psephotus haematonotus,Red-rumped Parrot
Pseudacris brimleyi,Brimley's Chorus Frog
Pseudacris clarkii,Spotted Chorus Frog
Pseudacris crucifer,Spring Peeper
Pseudacris feriarum,Upland Chorus Frog
Pseudacris nigrita,Southern Chorus Frog
Pseudacris ocularis,Little Grass Frog
Pseudacris ornata,Ornate Chorus Frog
Pseudacris streckeri,Strecker's Chorus Frog
Pseudacris triseriata,Striped Chorus Frog
Pseudasthenes humicola,Dusky-tailed Canastero
Pseudibis papillosa,Red-naped Ibis
Pseudocolaptes boissonneautii,Streaked Tuftedcheek
Pseudoleistes guirahuro,Yellow-rumped Marshbird
Pseudoleistes virescens,Brown-and-yellow Marshbird
Pseudonestor xanthophrys,Maui Parrotbill
Pseudopipra pipra,White-crowned Manakin
Pseudoseisura lophotes,Brown Cacholote
Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant
Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant
Psilopogon asiaticus,Blue-throated Barbet
Psilopogon chrysopogon,Gold-whiskered Barbet
Psilopogon duvaucelii,Blue-eared Barbet
Psilopogon franklinii,Golden-throated Barbet
Psilopogon haemacephalus,Coppersmith Barbet
Psilopogon lineatus,Lineated Barbet
Psilopogon malabaricus,Malabar Barbet
Psilopogon mystacophanos,Red-throated Barbet
Psilopogon nuchalis,Taiwan Barbet
Psilopogon pulcherrimus,Golden-naped Barbet
Psilopogon pyrolophus,Fire-tufted Barbet
Psilopogon virens,Great Barbet
Psilopogon viridis,White-cheeked Barbet
Psilopogon zeylanicus,Brown-headed Barbet
Psilorhamphus guttatus,Spotted Bamboowren
Psilorhinus morio,Brown Jay
Psiloscops flammeolus,Flammulated Owl
Psittacara erythrogenys,Red-masked Parakeet
Psittacara finschi,Crimson-fronted Parakeet
Psittacara holochlorus,Green Parakeet
Psittacara leucophthalmus,White-eyed Parakeet
Psittacara mitratus,Mitred Parakeet
Psittacara wagleri,Scarlet-fronted Parakeet
Psittacula alexandri,Red-breasted Parakeet
Psittacula columboides,Malabar Parakeet
Psittacula cyanocephala,Plum-headed Parakeet
Psittacula eupatria,Alexandrine Parakeet
Psittacula krameri,Rose-ringed Parakeet
Psophia crepitans,Gray-winged Trumpeter
Psophodes olivaceus,Eastern Whipbird
Pternistis erckelii,Erckel's Francolin
Pterocles exustus,Chestnut-bellied Sandgrouse
Pterodroma cookii,Cook's Petrel
Pterodroma externa,Juan Fernandez Petrel
Pterodroma inexpectata,Mottled Petrel
Pterodroma neglecta,Kermadec Petrel
Pterodroma nigripennis,Black-winged Petrel
Pterodroma sandwichensis,Hawaiian Petrel
Pteroglossus aracari,Black-necked Aracari
Pteroglossus castanotis,Chestnut-eared Aracari
Pteroglossus torquatus,Collared Aracari
Pterophylla camellifolia,Common True Katydid
Pteroptochos megapodius,Moustached Turca
Pteroptochos tarnii,Black-throated Huet-huet
Pterorhinus chinensis,Black-throated Laughingthrush
Pteruthius aeralatus,Blyth's Shrike-Babbler
Ptilinopus magnificus,Wompoo Fruit-Dove
Ptiliogonys caudatus,Long-tailed Silky-flycatcher
Ptiliogonys cinereus,Gray Silky-flycatcher
Ptilonorhynchus violaceus,Satin Bowerbird
Ptilotula fusca,Fuscous Honeyeater
Ptilotula penicillata,White-plumed Honeyeater
Ptyonoprogne rupestris,Eurasian Crag-Martin
Puffinus nativitatis,Christmas Shearwater
Puffinus newelli,Newell's Shearwater
Puffinus puffinus,Manx Shearwater
Pulsatrix koeniswaldiana,Tawny-browed Owl
Pulsatrix melanota,Band-bellied Owl
