,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url
209,Northern Parula (Setophaga americana),0:02,Richard E. Webster,2020-04-29,13:32,United States,"San Bernardino National Wildlife Refuge, Cochise County, Arizona",1100,"adult, sex uncertain, song","not seen; rare migrant this far west;
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC609993,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC609993 - Northern Parula - Setophaga americana.mp3,/609993/download
210,Northern Parula (Setophaga americana),0:08,Peter Stronach,2020-10-27,11:30,Portugal,"Ribeira do Cantinho, Corvo, Açores",260,"alarm call, call, life stage uncertain, sex uncertain","Single call from a vagrant
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC598355,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC598355 - Northern Parula - Setophaga americana.mp3,/598355/download
211,Northern Parula (Setophaga americana),0:41,Eric DeFonso,2020-05-07,09:11,United States,"Old St Vrain Rd/Red Gulch Rd near Lyons, Boulder County, Colorado",1600,"adult, male, song","Recorded with iPhone SE. Bird singing from tall trees near intersection
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC581090,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC581090 - Northern Parula - Setophaga americana.mp3,/581090/download
212,Northern Parula (Setophaga americana),0:35,Don Henise,2020-06-27,08:35,United States,"North Spit Trails, Coos Bay, Coos County, Oregon",0,"adult, male, song","Recorded as video with Nikon D3400 DSLR camera. Converted to mp3 format and amplified with Audacity
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC572206,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC572206 - Northern Parula - Setophaga americana.mp3,/572206/download
213,Northern Parula (Setophaga americana),0:21,Don Henise,2020-06-27,08:00,United States,"North Spit Trails, Coos Bay, Coos County, Oregon",0,"adult, male, song","Recorded as video with Nikon D3400 DSLR camera. Converted to mp3 format and amplified with Audacity
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC572205,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC572205 - Northern Parula - Setophaga americana.mp3,/572205/download
214,Northern Parula (Setophaga americana),0:02,GAVIN ANDERSON,2020-05-26,12:00,United States,"Washington Township (near  Waynesboro), Franklin County, Pennsylvania",190,song,"Unknown bird
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC562440,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC562440 - Northern Parula - Setophaga americana.mp3,/562440/download
215,Northern Parula (Setophaga americana),0:37,Aidan Place,2017-07-03,12:30,United States,"Chatham, Carroll County, New Hampshire",480,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC488523,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC488523 - Northern Parula - Setophaga americana.mp3,/488523/download
216,Northern Parula (Setophaga americana),0:49,Daniel Parker,2019-06-14,07:30,United States,"Townsend, Tennessee",?,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC481965,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC481965 - Northern Parula - Setophaga americana.mp3,/481965/download
217,Northern Parula (Setophaga americana),0:37,William Young,2019-04-23,10:30,United States,"Shenk's Ferry Wildflower Preserve, Lancaster County, Pennsylvania",62,song,"This Northern Parula was first heard at approximately 10:10 AM. The bird was  foraging at 9 yards up, pausing occasionally to sing. This specific recording was made when the bird was roughly 3 yards above me in an immature Red Maple, singing. Multiple recordings of this individual were made in the 25 minute time period the bird was observed. 
eBird Checklist; Shenk's Ferry Wildflower Preserve, April, 2019:
https://ebird.org/view/checklist/S55306717
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC468208,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC468208 - Northern Parula - Setophaga americana.mp3,/468208/download
218,Northern Parula (Setophaga americana),0:16,Bates Estabrooks,2019-04-17,08:30,United States,"Andersonville, Anderson County, Tennessee",300,song,"Need ID for buzzy song at 0:0.1, 0:6.9, and 0:13.8.  Thanks.
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC467271,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC467271 - Northern Parula - Setophaga americana.mp3,/467271/download
219,Northern Parula (Setophaga americana),0:21,Bates Estabrooks,2019-04-17,08:30,United States,"Andersonville, Anderson County, Tennessee",300,song,"Need ID help with faint ""buzzy"" song at 0:1.1, 0:9.2, and 0:19.3.  Thanks.
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC467270,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC467270 - Northern Parula - Setophaga americana.mp3,/467270/download
220,Northern Parula (Setophaga americana),2:24,Paul Marvin,2018-04-20,10:16,United States,"River Lakes Conservation Area near Viera, Brevard Co, Florida",0,"call, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC451606,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC451606 - Northern Parula - Setophaga americana.mp3,/451606/download
221,Northern Parula (Setophaga americana),0:42,Nikhil Jain,2018-06-09,09:40,United States,"Cedar Falls County Park, Greenville County, South Carolina",200,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC419785,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC419785 - Northern Parula - Setophaga americana.mp3,/419785/download
222,Northern Parula (Setophaga americana),0:23,Antonio Xeira,2016-04-26,10:30,United States,"Hardin, Marshall County, Kentucky",110,song,"Editing: High-pass filter, cutoff frequency 1kHz, some amplification.
Equipment: Olympus WS-822 digital recorder with Audio-technica ATR 6550 shotgun.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC389964,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC389964 - Northern Parula - Setophaga americana.mp3,/389964/download
223,Northern Parula (Setophaga americana),0:13,Antonio Xeira,2016-04-26,10:30,United States,"Hardin, Marshall County, Kentucky",110,song,"Editing: High-pass filter, cutoff frequency 1kHz, some amplification.
Equipment: Olympus WS-822 digital recorder with Audio-technica ATR 6550 shotgun.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC389963,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC389963 - Northern Parula - Setophaga americana.mp3,/389963/download
224,Northern Parula (Setophaga americana),0:11,Jerry Friedman,2017-05-15,08:30,United States,"Ohio (near  Cleveland Heights), Cuyahoga County, Ohio",280,song,"The recording has been cropped.  The bird was high in a shade tree at Shaker Lakes park.  Can anyone identify the rising buzzy sound at 2.5 and 9.5 sec?
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC372023,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC372023 - Northern Parula - Setophaga americana.mp3,/372023/download
225,Northern Parula (Setophaga americana),0:02,Bates Estabrooks,2017-05-20,07:30,United States,"Tennessee (near  Andersonville), Anderson County, Tennessee",280,song,"Stephenson and Whittle Type B1 with final ""diagnostic"" ""up/down"" phrase omitted as in first vocalization on XC192446.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC371030,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC371030 - Northern Parula - Setophaga americana.mp3,/371030/download
226,Northern Parula (Setophaga americana),1:26,Eric DeFonso,2017-05-13,07:15,United States,"Mill Creek Trail near Shawnee Mission Park, Lenexa, Johnson County, Kansas",260,song,"Ascending phrases of song from bird in taller grove of riparian trees downhill from parkway access trail. Noise below 100 Hz filtered, as well as between 500-1500Hz. Signal amplified several dB.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC370942,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC370942 - Northern Parula - Setophaga americana.mp3,/370942/download
227,Northern Parula (Setophaga americana),0:20,Roland Rumm,2017-03-20,12:00,Honduras,"Southwest Cay, Guanaja",0,alarm call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC360917,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC360917 - Northern Parula - Setophaga americana.mp3,/360917/download
228,Northern Parula (Setophaga americana),0:15,Roland Rumm,2017-01-29,11:30,Honduras,"El Bight, Guanaja, Bay Islands",30,alarm call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC353469,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC353469 - Northern Parula - Setophaga americana.mp3,/353469/download
229,Northern Parula (Setophaga americana),0:40,Bernard BOUSQUET,2013-04-21,10:00,United States,"1, Charlotte (near  Charlotte), Mecklenburg, North Carolina",190,song,"In the trees of a garden in a residential area (suburbs of Charlotte). Could be American Redstart (Setophaga ruticilla)? Thanks in advance for your opinions. Bernard BOUSQUET
Identification by Terry Davis
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC327651,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC327651 - Northern Parula - Setophaga americana.mp3,/327651/download
230,Northern Parula (Setophaga americana),0:39,Mouser Williams,2016-06-08,08:00,United States,"Santa Fe, Santa Fe County, New Mexico",2200,song,"This recording was made using the built-in microphone on a Motorola Nexus 6 mobile phone.   The bird was moving around in the canopy of some tall, mature cottonwood trees.  The audio was processed to remove everything below 3kHz and above 9kHz to get rid of significant traffic noise (this was recorded from a sidewalk next to a road with frequent traffic).  
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC320544,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC320544 - Northern Parula - Setophaga americana.mp3,/320544/download
231,Northern Parula (Setophaga americana),0:33,ASJ26,2016-05-01,09:00,United States,"Broward County, Florida",0,song,"Heard on the edge of the county where there are old fields away from development.
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC317883,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC317883 - Northern Parula - Setophaga americana.mp3,/317883/download
232,Northern Parula (Setophaga americana),0:02,Sue Riffe,2016-05-05,08:11,United States,"Hasty CG in John Martin SP, Bent County, Colorado",1100,song,"One song in the top of a Cottonwood Tree.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC316514,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC316514 - Northern Parula - Setophaga americana.mp3,/316514/download
233,Northern Parula (Setophaga americana),0:02,Sue Riffe,2016-05-05,08:10,United States,"Hasty CG in John Martin SP, Bent County, Colorado",1100,song,"One song in the top of a Cottonwood Tree.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC316513,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC316513 - Northern Parula - Setophaga americana.mp3,/316513/download
234,Northern Parula (Setophaga americana),0:58,Daniel Parker,2015-05-08,09:39,United States,"Yard, Croton, New York",?,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC315580,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC315580 - Northern Parula - Setophaga americana.mp3,/315580/download
235,Northern Parula (Setophaga americana),0:21,Matt Wistrand,2014-04-25,12:44,United States,"Larue-Pine HIlls, Union County, Illinois",110,song,"Edited to remove talking.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC313032,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC313032 - Northern Parula - Setophaga americana.mp3,/313032/download
236,Northern Parula (Setophaga americana),0:00,David Vander Pluym,2014-08-13,07:00,United States,"Havasu National Wildlife Refuge (near  Topock), Mohave, Arizona",140,call,"Identity 90% a Yellow Warbler was in the same tree as well, but the recording sounds better for Northern Parula to me. Restoration site in planted cottonwoods/willows.  High pass filter ran and amplified. 
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC288228,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC288228 - Northern Parula - Setophaga americana.mp3,/288228/download
237,Northern Parula (Setophaga americana),0:18,Daniel Parker,2015-07-11,18:15,Canada,"Université Sainte-Anne, Pointe-de-L'Église (Church Point), Clare, Nova Scotia",?,song,"[also]
[sono]",ABCDE,XC267507,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC267507 - Northern Parula - Setophaga americana.mp3,/267507/download
238,Northern Parula (Setophaga americana),1:10,Matt Brady,2015-06-25,06:30,United States,"Barataria Preserve, Jean Lafitte NHP, Jefferson Parish, Louisiana",0,song,"Recorded using an iPhone with Edutige EIM-001 i-Mic. The bird was singing from the mid-story of a cypress-tupelo swamp. This is the same individual as XC253966.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC253967,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC253967 - Northern Parula - Setophaga americana.mp3,/253967/download
239,Northern Parula (Setophaga americana),0:23,Matt Brady,2015-06-25,06:30,United States,"Barataria Preserve, Jean Lafitte NHP, Jefferson Parish, Louisiana",0,song,"Recorded using an iPhone with Edutige EIM-001 i-Mic. The bird was singing from the mid-story of a cypress-tupelo swamp. This is the same individual as  XC253967.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC253966,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC253966 - Northern Parula - Setophaga americana.mp3,/253966/download
240,Northern Parula (Setophaga americana),0:41,Iain,2015-06-12,07:00,Canada,"Algonquin Highlands, Haliburton County, Ontario",400,song,"Singing high in tree in mixed forest just N of Livingston Lake. Mosquitos and rain in background. 
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC252871,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC252871 - Northern Parula - Setophaga americana.mp3,/252871/download
241,Northern Parula (Setophaga americana),0:32,Arman Moreno,2015-06-06,12:22,United States,"Marble Falls, Travis County, Texas",220,song,"Hybrid Northern X Tropical Parula. Would not let me proceed without selecting one specific species so chose to enter as ""Northern"" Parula based on the fact that this species breeds in this location. 
Appears to be the same bird I photographed in September of 2013. Same general area as the bird I had previously observed. Male, singing on territory. 
Lacked dark necklace of Northern but with traces of darker coloration in same area. More extensive yellow, extending down the belly. Presence of incomplete, lower eye-arc (no upper eye-arc) and blotchy, well-defined orange coloration on the breast seem to suggest a hybrid Northern X Tropical Parula. 
Knocks against pure Tropical lineage are the presence of a lower eye-arc, lack of a smooth transition of yellow-orange coloration on the breast and belly (there's a well-defined blotch of orange that doesn't ""fade"" into the yellow), weak, black mask and darker coloration near the throat, which hints at a breast band. 
Several years ago, there was a record of TRPA from nearby Hamilton Pool. It is possible that this bird could be the offspring if that bird nested. 
bird-seen:yes
playback-used:yes
  [also]
[sono]",ABCDE,XC248151,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC248151 - Northern Parula - Setophaga americana.mp3,/248151/download
242,Northern Parula (Setophaga americana),0:02,Maxime Aubert,2015-05-25,09:00,Canada,Ile Sainte-Hélène,10,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC246042,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC246042 - Northern Parula - Setophaga americana.mp3,/246042/download
243,Northern Parula (Setophaga americana),0:11,Dylan Pedro,2015-05-07,7:30,United States,"Burrillville, Providence County, Rhode Island",170,"male, song","Recorded with Canon EOS Rebel T3i built-in mic. Filtered for noise and slightly amplified with Audacity. Habitat: Border of relatively mature deciduous forest and residental area. Behavior: Singing and feeding on either insects or oak flower nectar. Singing approximately once every 30 seconds. Conditions: Sunny morning, mild wind from S.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC240409,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC240409 - Northern Parula - Setophaga americana.mp3,/240409/download
244,Northern Parula (Setophaga americana),1:00,James Barnes,2015-05-07,06:45,United States,"Brazos Bend State Park, Fort Bend County, Texas",20,song,"Recording is not modified.  Couldn't locate bird due to very poor light conditions and thick understory. Bird was calling naturally from a height of less than 2 meters.
bird-seen:no
playback-used:no
 ID has been discussed and resolved. See the forum. [also]
[sono]",ABCDE,XC240353,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC240353 - Northern Parula - Setophaga americana.mp3,/240353/download
245,Northern Parula (Setophaga americana),0:16,Robert Benson,1990-03-21,09:00,United States,"Iola, Grimes County, Texas",60,song,"This recording was made near the small town of Iola in East Texas. The location was the floodplane of the Navasota River (hardwood forest) This male was singing from the top of a mature tree. There were other males of this species singing in the area.
Equipment was a Panasonic SV250 cassette recorder and a Sennheiser ME88 microphone.
The original recording is now archived at the Dudley T. Dougherty Natural Sounds Collection in Normanna, Texas.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC210729,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC210729 - Northern Parula - Setophaga americana.mp3,/210729/download
246,Northern Parula (Setophaga americana),0:01,Cole W.,2014-09-22,20:40,United States,"Concord, Middlesex, Massachusetts",50,flight call,"Nocturnal Flight Call.
Wind noise, crickets, etc. under 5.5 kHz filtered out.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC196658,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC196658 - Northern Parula - Setophaga americana.mp3,/196658/download
247,Northern Parula (Setophaga americana),0:19,Paul J. Hurtado,2014-05-25,08:45,United States,Prairie Oaks Metro Park--Sycamore Plains Area,280,song,"Recorded as it sang from the treetops along Battelle Darby Creek.  Recorded using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910. Post processing with Audacity (high pass filter, noise removal and some low end notch filtering).   eBird Checklist: S18547062
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC182008,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC182008 - Northern Parula - Setophaga americana.mp3,/182008/download
248,Northern Parula (Setophaga americana),0:29,Daniel Parker,2014-05-10,08:40,United States,"Yard, Croton, New York",?,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC177844,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC177844 - Northern Parula - Setophaga americana.mp3,/177844/download
249,Northern Parula (Setophaga americana),0:08,Paul J Champlin,2013-09-18,06:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"Black-throated Green flight call included
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC147872,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147872 - Northern Parula - Setophaga americana.mp3,/147872/download
250,Northern Parula (Setophaga americana),0:06,Paul J Champlin,2013-09-18,06:30,United States,"Westport, Bristol, Massachusetts",0,flight call,"With strong Black-throated Green Warbler flight call
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC147870,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC147870 - Northern Parula - Setophaga americana.mp3,/147870/download
251,Northern Parula (Setophaga americana),2:45,Daniel Parker,2013-05-11,10:30,United States,"Yard, Croton, New York",?,song,"Habitat: suburban backyard. The first time I've heard this here. Singing migrant warbler? I know it's either a Setophaga sp. or a Northern Parula.
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC133311,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC133311 - Northern Parula - Setophaga americana.mp3,/133311/download
252,Northern Parula (Setophaga americana),0:04,Liam Wolff,2013-04-05,14:30,United States,"Augusta, Richmond, Georgia",40,song,"More common song than XC131884 .
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC131885,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC131885 - Northern Parula - Setophaga americana.mp3,/131885/download
253,Northern Parula (Setophaga americana),0:06,Sander Bot,2012-08-15,14:30,United States,"Atlanta, Fulton, Georgia",300,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC113063,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC113063 - Northern Parula - Setophaga americana.mp3,/113063/download
254,Northern Parula (Setophaga americana),1:06,Daniel Lane,2012-05-12,07:00,United States,"Rockaway, Morris Co., NJ",200,song,"Natural (atypical) song from unseen bird about 10m up in Quercus alba in suburban yard.
  [also]
[sono]",ABCDE,XC101631,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC101631 - Northern Parula - Setophaga americana.mp3,/101631/download
255,Northern Parula (Setophaga americana),0:36,Jonathon Jongsma,2012-05-20,08:00,United States,"Bear Head Lake State Park, St. Louis, Minnesota",450,song,"natural song
playback-used:no
  [also]
[sono]",ABCDE,XC101588,Creative Commons Attribution-ShareAlike 3.0,XC101588 - Northern Parula - Setophaga americana.mp3,/101588/download
256,Northern Parula (Setophaga americana),0:09,Mike Nelson,2011-05-29,10:30am,United States,"Cherohala Skyway, North River Rd, Cherokee National Forest, North Carolina",1350,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC79091,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC79091 - Northern Parula - Setophaga americana.mp3,/79091/download
257,Northern Parula (Setophaga americana),0:40,Mike Nelson,2011-05-25,9:30am,United States,"White Oak Sinks, Great Smoky Mountains National Park, Tennessee",500,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC78705,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC78705 - Northern Parula - Setophaga americana.mp3,/78705/download
258,Northern Parula (Setophaga americana),1:32,Mike Nelson,2011-05-01,11:00am,United States,"Seven Islands Wildlife Refuge, Knoxville, Tennessee",150,song,"Some standard song some varied and combinations, only saw one bird
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC77278,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC77278 - Northern Parula - Setophaga americana.mp3,/77278/download
259,Northern Parula (Setophaga americana),0:46,Mike Nelson,2009-05-10,10:20am,United States,"Talladega National Forest, Munford, Alabama",200,song,"Odd song with one 'normal' song thrown in by the same bird, some intervals shortened
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC54023,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC54023 - Northern Parula - Setophaga americana.mp3,/54023/download
260,Northern Parula (Setophaga americana),0:18,Paul Driver,2007-07-06,am,United States,"Searsport, ME",0,call,[sono],ABCDE,XC20994,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC20994 - Northern Parula - Setophaga americana.mp3,/20994/download
261,Northern Parula (Setophaga americana),1:45,Valerie Heemstra,2021-07-01,12:50,United States,"Hiawatha National Forest (near  Rapid River), Delta County, Michigan",180,"life stage uncertain, sex uncertain, song","Windy (10-15 mph sustained) conditions resulting in leaf noise and creaking branches. This is a longer recording  with more songs than the excerpt that is XC660602. Trees were close together,  mixed conifer and deciduous, and the bird was moving around at least 8 meters up in the trees. I could not see it. There are about 28 phrases in the first section. The ending of the song is a down then upward slur, which is like the birds in the western part of the range and was quite consistent (not the up/down chip of the more eastern birds). It is Type C of the Northern Parula songs described by Stephenson and Whittle on p. 370 of The Warbler Guide. 
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC660603,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC660603 - Northern Parula - Setophaga americana.mp3,/660603/download
262,Northern Parula (Setophaga americana),0:39,Ray Cooke,2019-07-04,19:50,Canada,Jacks Road,20,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC605292,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC605292 - Northern Parula - Setophaga americana.mp3,/605292/download
263,Northern Parula (Setophaga americana),0:23,Bobby Wilcox,2018-05-23,09:30,United States,"Pahranagat NWR, Lincoln County, Nevada",1000,"male, song","About 40ft away in large cottonwood tree, sings at 0:01, 0:10 and 0:18 but a bit difficult to hear over other birds.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC418565,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC418565 - Northern Parula - Setophaga americana.mp3,/418565/download
264,Northern Parula (Setophaga americana),0:02,Janine McCabe,2018-01-07,12:00,United States,"Tucson, Pima County, Arizona",700,call,"Outskirts of a busy city, 2 tenths of a mile from the Interstate.  Urban park with lake and much brushy weedy open space.  East of the park is the city effluent water treated and pumped into channel ""river"" with some Cottonwood and Willow and tamarisk trees.  Noticable amount of small insect life active in the air.  I am pretty sure this was an adult male.  Foraging in the upper half of the cottonwood canopy and calling occasionally.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC398663,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC398663 - Northern Parula - Setophaga americana.mp3,/398663/download
265,Northern Parula (Setophaga americana),0:12,Janine McCabe,2018-01-07,12:00,United States,"Tucson, Pima County, Arizona",700,call,"Outskirts of a busy city, 2 tenths of a mile from the Interstate.  Urban park with lake and much brushy weedy open space.  East of the park is the city effluent water treated and pumped into channel ""river"" with some Cottonwood and Willow and tamarisk trees.  Noticable amount of small insect life active in the air.  I am pretty sure this was an adult male.  Foraging in the upper half of the cottonwood canopy and calling occasionally.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC398662,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC398662 - Northern Parula - Setophaga americana.mp3,/398662/download
266,Northern Parula (Setophaga americana),0:02,Janine McCabe,2018-01-07,12:00,United States,"Tucson, Pima County, Arizona",700,call,"Outskirts of a busy city, 2 tenths of a mile from the Interstate.  Urban park with lake and much brushy weedy open space.  East of the park is the city effluent water treated and pumped into channel ""river"" with some Cottonwood and Willow and tamarisk trees.  Noticable amount of small insect life active in the air.  I am pretty sure this was an adult male.  Foraging in the upper half of the cottonwood canopy and calling occasionally.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC398661,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC398661 - Northern Parula - Setophaga americana.mp3,/398661/download
267,Northern Parula (Setophaga americana),0:27,Janine McCabe,2018-01-07,12:00,United States,"Tucson, Pima County, Arizona",700,call,"Outskirts of a busy city, 2 tenths of a mile from the Interstate.  Urban park with lake and much brushy weedy open space.  East of the park is the city effluent water treated and pumped into channel ""river"" with some Cottonwood and Willow and tamarisk trees.  Noticable amount of small insect life active in the air.  I am pretty sure this was an adult male.  Foraging in the upper half of the cottonwood canopy and calling occasionally.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC398660,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC398660 - Northern Parula - Setophaga americana.mp3,/398660/download
268,Northern Parula (Setophaga americana),1:05,Daniel Parker,2015-05-08,09:49,United States,"Yard, Croton, New York",?,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC315591,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC315591 - Northern Parula - Setophaga americana.mp3,/315591/download
269,Northern Parula (Setophaga americana),0:32,Daniel Parker,2015-07-11,18:00,Canada,"Université Sainte-Anne, Pointe-de-L'Église (Church Point), Clare, Nova Scotia",?,juvenile,[sono],ABCDE,XC267506,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC267506 - Northern Parula - Setophaga americana.mp3,/267506/download
270,Northern Parula (Setophaga americana),0:35,Bobby Wilcox,2015-05-03,10:30,United States,"Palo Verde Ecological Reserve, Riverside County, California",90,song,"A vagrant in this area, this bird was foraging in a dense stand of willow and cottonwood in a habitat creation reserve amongst a huge flock of migrant warblers and vireos.  At the time of the recording it was probably 40-50ft from me and foraging maybe 10-15ft off the ground.  The bird sang most of the morning from the same area during a bird survey.  
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC253961,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC253961 - Northern Parula - Setophaga americana.mp3,/253961/download
271,Northern Parula (Setophaga americana),0:03,Maxime Aubert,2015-05-14,10:00,Canada,Châteauguay,30,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC243425,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC243425 - Northern Parula - Setophaga americana.mp3,/243425/download
